#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.1%	1000	-559353.3581542969	307.8113348882967	0
0.2%	2000	-561318.8709716797	300.328765953177	3.81e+03
0.3%	3000	-562033.7178039551	298.0692817177425	3.82e+03
0.4%	4000	-562550.3756103516	299.44267491416093	3.8e+03
0.5%	5000	-562874.1365356445	306.76105046257334	3.4e+03
0.6%	6000	-563364.9280395508	298.1830918676742	2.75e+03
0.7%	7000	-563483.9770507812	304.50808261625974	2.45e+03
0.8%	8000	-563456.1223144531	284.9327395439606	2.27e+03
0.9%	9000	-563707.9372253418	295.1416392180639	2.17e+03
1.0%	10000	-563702.9521484375	286.8471917573957	2.06e+03
1.1%	11000	-564147.7833862305	313.33747994831594	1.96e+03
1.2%	12000	-564512.604309082	295.1692073382432	1.93e+03
1.3%	13000	-564327.5164794922	292.27444691621645	1.81e+03
1.4%	14000	-564425.7467041016	300.99533769919736	1.78e+03
1.5%	15000	-564755.153137207	320.15967231178394	1.76e+03
1.6%	16000	-564824.2122802734	291.9342104368001	1.74e+03
1.7%	17000	-564980.5236816406	305.4541048769053	1.73e+03
1.8%	18000	-565029.1085205078	297.7393520964449	1.72e+03
1.9%	19000	-564863.4719543457	304.29895058078307	1.71e+03
2.0%	20000	-565135.2191772461	299.8496716994256	1.69e+03
2.1%	21000	-565188.3475341797	301.6475279165315	1.68e+03
2.2%	22000	-565370.5651855469	294.42075062593983	1.71e+03
2.3%	23000	-565545.7855224609	303.99662541130607	1.75e+03
2.4%	24000	-565711.319519043	295.8521541000062	1.77e+03
2.5%	25000	-565639.7081604004	287.11759492089215	1.76e+03
2.6%	26000	-566232.3381958008	301.7804726621973	1.75e+03
2.7%	27000	-566153.4849243164	297.4220998795703	1.74e+03
2.8%	28000	-566071.211730957	297.3163339593398	1.74e+03
2.9%	29000	-566181.3438720703	297.93814554010066	1.73e+03
3.0%	30000	-565990.7827148438	292.1616596616845	1.73e+03
3.1%	31000	-566085.1834716797	298.8534309783899	1.72e+03
3.2%	32000	-566342.2080841064	315.4130237031624	1.71e+03
3.3%	33000	-566149.0663146973	300.09303736845607	1.71e+03
3.4%	34000	-566177.7462158203	301.44002525537394	1.7e+03
3.5%	35000	-566717.3737182617	296.7032623954266	1.7e+03
3.6%	36000	-566545.19921875	296.0841346317156	1.7e+03
3.7%	37000	-566532.2994384766	308.57445348459873	1.69e+03
3.8%	38000	-566902.5476074219	296.64628280678966	1.71e+03
3.9%	39000	-566550.8336486816	295.071294906877	1.74e+03
4.0%	40000	-566553.5103149414	297.7977151291808	1.74e+03
4.1%	41000	-566791.9300537109	304.98942696188675	1.73e+03
4.2%	42000	-566853.0357055664	293.28607136455753	1.72e+03
4.3%	43000	-566766.62109375	297.74531084612255	1.71e+03
4.4%	44000	-566870.6544189453	298.6924835133859	1.7e+03
4.5%	45000	-566774.6756591797	299.7308286751734	1.7e+03
4.6%	46000	-566586.4909667969	309.0017446575547	1.69e+03
4.7%	47000	-566771.5192871094	313.2155354741849	1.69e+03
4.8%	48000	-566961.7786254883	306.6151301720878	1.69e+03
4.9%	49000	-566812.0152587891	300.8828705255728	1.68e+03
5.0%	50000	-566912.8251342773	304.2352415543788	1.69e+03
5.1%	51000	-566906.0318603516	308.95097095296995	1.71e+03
5.2%	52000	-566651.606048584	294.34179569278893	1.7e+03
5.3%	53000	-566926.8883361816	303.99440811846085	1.7e+03
5.4%	54000	-566995.4070739746	301.9654572775514	1.7e+03
5.5%	55000	-567015.8874511719	309.8762341280068	1.7e+03
5.6%	56000	-566895.3515625	302.95707018867375	1.69e+03
5.7%	57000	-566950.6746826172	302.76555681841296	1.69e+03
5.8%	58000	-566969.9634094238	300.0804694831186	1.69e+03
5.9%	59000	-567053.3695068359	300.58659397952374	1.68e+03
6.0%	60000	-567207.8243408203	302.9713449853435	1.68e+03
6.1%	61000	-567148.5233154297	287.3842032905338	1.69e+03
6.2%	62000	-567125.705078125	303.5302958215134	1.68e+03
6.3%	63000	-567081.119354248	299.0267998337825	1.68e+03
6.4%	64000	-567140.6647949219	293.3874389941776	1.68e+03
6.5%	65000	-567191.0297851562	298.46135843597426	1.68e+03
6.6%	66000	-567357.8471679688	291.7711605482146	1.67e+03
6.7%	67000	-567288.0879516602	292.7259667722856	1.67e+03
6.8%	68000	-567336.6207885742	310.11330949537484	1.67e+03
6.9%	69000	-567399.8520202637	295.77718647394425	1.67e+03
7.0%	70000	-567396.1547851562	302.4128786636496	1.67e+03
7.1%	71000	-567371.5892333984	296.0839995571123	1.69e+03
7.2%	72000	-567215.9052734375	298.9351837454453	1.7e+03
7.3%	73000	-567457.915222168	294.92619621977525	1.69e+03
7.4%	74000	-567439.2112426758	299.97720590252607	1.69e+03
7.5%	75000	-567233.9279785156	292.08773797248483	1.69e+03
7.6%	76000	-567437.8198852539	285.86186194028403	1.68e+03
7.7%	77000	-567468.6094970703	302.7011912914508	1.68e+03
7.8%	78000	-567385.7589111328	299.5654249887974	1.68e+03
7.9%	79000	-567526.2427062988	307.67782845204164	1.68e+03
8.0%	80000	-567620.5192871094	305.2211213484383	1.67e+03
8.1%	81000	-567420.9298095703	303.50384777661026	1.67e+03
8.2%	82000	-567473.6491851807	310.7754611968858	1.67e+03
8.3%	83000	-567587.0630493164	309.372382482692	1.67e+03
8.4%	84000	-567694.3525695801	305.99597639293864	1.67e+03
8.5%	85000	-567505.3727722168	312.29648643913197	1.66e+03
8.6%	86000	-567325.5828552246	300.1995094108059	1.66e+03
8.7%	87000	-567605.3684082031	303.44892167077677	1.66e+03
8.8%	88000	-567533.3176422119	293.0109763831192	1.66e+03
8.9%	89000	-567663.384765625	295.86789731294255	1.65e+03
9.0%	90000	-567601.6597595215	302.31760399808314	1.65e+03
9.1%	91000	-567707.3915405273	297.6516935826842	1.65e+03
9.2%	92000	-567922.2576599121	293.3597006586719	1.65e+03
9.3%	93000	-567917.9101791382	296.20498465527317	1.64e+03
9.4%	94000	-567733.6497802734	309.12834003990145	1.64e+03
9.5%	95000	-567923.7715454102	313.1499460424681	1.64e+03
9.6%	96000	-567882.0756835938	311.75834690118336	1.65e+03
9.7%	97000	-567948.1750488281	291.29993811362766	1.65e+03
9.8%	98000	-567968.8083648682	294.36094242371274	1.64e+03
9.9%	99000	-567880.1943817139	299.3567118825915	1.63e+03
10.0%	100000	-567997.1989746094	294.6316289751441	1.63e+03
10.1%	101000	-567939.7524414062	290.6587011706242	1.61e+03
10.2%	102000	-567770.4925537109	309.74124137578355	1.61e+03
10.3%	103000	-567937.6563720703	299.4209597516219	1.61e+03
10.4%	104000	-567757.177734375	307.519870828881	1.62e+03
10.5%	105000	-567873.6895141602	305.09934101708063	1.62e+03
10.6%	106000	-567781.9370727539	293.50019293642936	1.62e+03
10.7%	107000	-567973.9132080078	293.04334866552654	1.61e+03
10.8%	108000	-568154.6386108398	289.9770041835271	1.61e+03
10.9%	109000	-567937.495803833	304.9567887757842	1.61e+03
11.0%	110000	-567875.9059143066	303.8232034051435	1.6e+03
11.1%	111000	-568154.2145385742	304.50770802042877	1.6e+03
11.2%	112000	-568068.0343017578	297.8938657387557	1.6e+03
11.3%	113000	-567806.354675293	301.35782411977385	1.6e+03
11.4%	114000	-567858.6123962402	314.24605899208245	1.6e+03
11.5%	115000	-568100.7549133301	290.4456843269269	1.59e+03
11.6%	116000	-567826.0711669922	290.96766366642913	1.59e+03
11.7%	117000	-568025.676574707	302.8508659973369	1.59e+03
11.8%	118000	-568021.7028808594	307.55799218319237	1.59e+03
11.9%	119000	-567922.9664916992	306.2659243095784	1.59e+03
12.0%	120000	-567981.7458953857	288.9914653279846	1.59e+03
12.1%	121000	-567988.690246582	289.67321342465124	1.58e+03
12.2%	122000	-567925.9315338135	291.62026964346074	1.58e+03
12.3%	123000	-567988.669921875	291.47318897068254	1.58e+03
12.4%	124000	-567971.8857269287	301.4251266801269	1.58e+03
12.5%	125000	-567894.0866699219	306.49091377501384	1.58e+03
12.6%	126000	-568074.2066040039	310.03443885671254	1.58e+03
12.7%	127000	-568077.59375	296.41639609802684	1.58e+03
12.8%	128000	-568107.2110595703	311.9866508517391	1.58e+03
12.9%	129000	-567887.7175292969	296.25877415447917	1.58e+03
13.0%	130000	-567923.2239990234	300.68119791396146	1.59e+03
13.1%	131000	-567882.6823730469	303.34894524334027	1.59e+03
13.2%	132000	-568056.2213745117	291.6788111943782	1.59e+03
13.3%	133000	-567845.0516967773	298.3779455499665	1.58e+03
13.4%	134000	-567788.7831726074	311.8799094445854	1.58e+03
13.5%	135000	-567798.0110473633	303.22784756841804	1.58e+03
13.6%	136000	-568150.858795166	300.02670117017226	1.58e+03
13.7%	137000	-568079.3516540527	305.8433018840567	1.58e+03
13.8%	138000	-567992.5696716309	293.15781864137756	1.58e+03
13.9%	139000	-568059.3607788086	288.8897015815015	1.58e+03
14.0%	140000	-568037.6324462891	297.6245149653787	1.58e+03
14.1%	141000	-568124.6282958984	312.6432986045354	1.58e+03
14.2%	142000	-567999.5294799805	300.3564148417874	1.59e+03
14.3%	143000	-567970.3715209961	312.42459582549657	1.59e+03
14.4%	144000	-568059.3070678711	296.4737123934878	1.59e+03
14.5%	145000	-567854.4572753906	299.9999669855438	1.59e+03
14.6%	146000	-568023.6865463257	300.71858118174396	1.59e+03
14.7%	147000	-567862.5603027344	298.9048176097761	1.59e+03
14.8%	148000	-568085.2905883789	306.2791798682805	1.59e+03
14.9%	149000	-568038.4184951782	293.27808378689645	1.59e+03
15.0%	150000	-568101.8764648438	308.5534848961548	1.58e+03
15.1%	151000	-568028.7040176392	288.05300152679393	1.58e+03
15.2%	152000	-567960.0804595947	296.7474973485405	1.58e+03
15.3%	153000	-568111.9627685547	305.43306611422724	1.58e+03
15.4%	154000	-568002.6249084473	308.6942924183746	1.58e+03
15.5%	155000	-567887.1216125488	294.15065799657503	1.58e+03
15.6%	156000	-567831.9669189453	307.9267753162777	1.58e+03
15.7%	157000	-568063.6528930664	299.78456531602154	1.58e+03
15.8%	158000	-567877.5493774414	300.28006253440293	1.58e+03
15.9%	159000	-567875.2833862305	300.87698742680647	1.59e+03
16.0%	160000	-567740.1634521484	306.04531318508486	1.59e+03
16.1%	161000	-568229.1787109375	293.1668533571667	1.59e+03
16.2%	162000	-568002.1376037598	290.53418285985754	1.58e+03
16.3%	163000	-567937.6372070312	306.54247012643765	1.58e+03
16.4%	164000	-568089.8959960938	300.41811106087863	1.58e+03
16.5%	165000	-568014.6069412231	308.86915515115345	1.57e+03
